"","date","year","quarter","age","e","u","i","eu","ei","ue","ui","ie","iu","ee","ue_s","eu_s","ei_s","ui_s","ie_s","iu_s"
"4375",2016 Q2,2016,2,46,0.79203254,0.032361306,0.17545703,0.0085081533,0.017947555,0.26632032,0.1142502,0.064073481,0.033987492,0.01628254,0.317108346853134,0.0117735522253758,0.0184985224090441,0.15860621153937,0.0597287180973513,0.0508332121813527
"4376",2016 Q2,2016,2,47,0.79763436,0.027666654,0.17448097,0.0082957707,0.015147784,0.29179686,0.22268526,0.064305723,0.03947363,0.016922446,0.352412243490872,0.0120926485957553,0.0146336799199139,0.3029072885355,0.0572838051391091,0.0621891607686118
"4377",2016 Q2,2016,2,48,0.78908199,0.027825987,0.18319139,0.011072135,0.015955264,0.2666221,0.2175602,0.049303733,0.027697988,0.018892715,0.316169249842423,0.0156614894880729,0.0148745485011521,0.279639143143012,0.0453035547630523,0.0408950968829187
"4378",2016 Q2,2016,2,49,0.79141289,0.020799151,0.18775076,0.0055463831,0.018684821,0.18808883,0.22088002,0.045947779,0.018532837,0.019881316,0.207337357197197,0.00679387480947669,0.018819139920036,0.251822413713379,0.0453108746049766,0.0240769420729898
"4379",2016 Q2,2016,2,50,0.7975893,0.020025101,0.18270467,0.0067905947,0.014588218,0.26575804,0.20330079,0.06095368,0.020650221,0.016244028,0.312361003819014,0.0095369939690455,0.0144475355684719,0.266479573489635,0.0592315826756056,0.0309701863887142
"4380",2016 Q2,2016,2,51,0.76579142,0.020442419,0.21410455,0.0051426766,0.013479831,0.21180789,0.25563338,0.04642633,0.013002718,0.016125908,0.23659877674811,0.00662009605432401,0.0132161081939478,0.294857460793742,0.0460957703769169,0.0175419061678695
"4381",2016 Q2,2016,2,52,0.75991422,0.021849131,0.21796028,0.0065475744,0.016472731,0.26839644,0.26938349,0.040596019,0.024928862,0.01193981,0.318066151143561,0.00917006810409837,0.015800692136511,0.332219786533757,0.036504272053107,0.0367994681773127
"4382",2016 Q2,2016,2,53,0.74335998,0.03099368,0.22536595,0.0087970346,0.02031384,0.22063455,0.16027597,0.055453014,0.023674596,0.014459393,0.251607605730904,0.0113885498259551,0.0205849548154521,0.199641562940223,0.0541505775687939,0.0324953769538587
"4383",2016 Q2,2016,2,54,0.75245529,0.020942355,0.2267137,0.0077994843,0.015564987,0.18747947,0.31355104,0.038050652,0.014208249,0.011319821,0.205559199492853,0.00972627753997957,0.0145462682896504,0.335907093982794,0.0375159612040605,0.0182598035556222
"4384",2016 Q2,2016,2,55,0.72570997,0.027860427,0.24681133,0.0087867705,0.022798428,0.25103229,0.1390059,0.04382956,0.018895406,0.011640445,0.296070372304309,0.0120308391135833,0.0230217885808124,0.180474648769643,0.04184110813312,0.027016675215342
"4385",2016 Q2,2016,2,56,0.72871453,0.021613069,0.25022158,0.0070889266,0.024881002,0.27360156,0.17932862,0.040019613,0.020290181,0.015480949,0.328963614292189,0.0100005724486466,0.025008667844586,0.234560008724821,0.0369013418934994,0.030213643158185
"4386",2016 Q2,2016,2,57,0.69710922,0.027740892,0.2753849,0.010523691,0.023206204,0.25058973,0.17787218,0.044349737,0.017178971,0.011577911,0.294805406199207,0.0145047406408044,0.0229570908469435,0.225908730072629,0.0428218289972685,0.0245064405994561
"4387",2016 Q2,2016,2,58,0.68211931,0.021542236,0.29661149,0.0076360856,0.015158083,0.27910244,0.14211133,0.027649963,0.0098135304,0.015825426,0.337367077149407,0.0111602010494238,0.014744791103765,0.190752460514167,0.026080027370045,0.0145797243746678
"4388",2016 Q2,2016,2,59,0.66774744,0.017148625,0.31514651,0.0081098918,0.023999695,0.27732721,0.37162602,0.036945093,0.013898307,0.0094796764,0.331100580248485,0.0117508906987325,0.0225012489628763,0.430743317784254,0.0351102694643839,0.020806102212909
"4389",2016 Q2,2016,2,60,0.60872561,0.02788423,0.36257926,0.0034149103,0.029325902,0.15931223,0.23340507,0.03206804,0.015719835,0.013346966,0.173518638278368,0.00387072696648161,0.0298885966326845,0.250678455557267,0.0315495500642199,0.01938714521672
"4390",2016 Q2,2016,2,61,0.57892716,0.022470826,0.39855447,0.010352137,0.028312884,0.18893449,0.23399931,0.026487833,0.008764849,0.011212766,0.212188335230022,0.0130482130975171,0.0275940168033719,0.258811947210792,0.0262697507408891,0.011102653741083
"4391",2016 Q2,2016,2,62,0.53758752,0.01752324,0.44490024,0.0062556714,0.042643234,0.21724594,0.24200945,0.028310407,0.0085722432,0.014589932,0.250494774261068,0.00813883153548778,0.0429920104989229,0.274862415533296,0.0281049349893466,0.0114356303037668
"4392",2016 Q2,2016,2,63,0.49810082,0.012520326,0.48952708,0.0047020358,0.040549554,0.19943674,0.19297558,0.020596793,0.0039850385,0.017931938,0.227661903504491,0.00602236712418525,0.0409016761604242,0.218281589935872,0.0207481491416867,0.0051239348924722
"4393",2016 Q2,2016,2,64,0.44566688,0.012623583,0.54165101,0.0051513063,0.04433383,0.21658801,0.22994199,0.022661068,0.0084947525,0.009509203,0.250583062698325,0.00664404898266691,0.044690529931149,0.260939573229598,0.0221700217417574,0.0112896410476204
"4394",2016 Q2,2016,2,65,0.41172546,0.014169376,0.57356006,0.0065655927,0.041262049,0.18674037,0.45476764,0.024862772,0.0086402278,0.016156994,NA,NA,NA,NA,NA,NA
"4395",2016 Q2,2016,2,66,0.32144943,0.014077356,0.66421264,0.012623179,0.055333339,0.2138003,0.46558008,0.020673918,0.0060553639,0.010719186,NA,NA,NA,NA,NA,NA
"4396",2016 Q2,2016,2,67,0.29818076,0.0080496203,0.69283813,0.010597598,0.04912214,0.1437135,0.35326019,0.015135073,0.0039300164,0.018406179,NA,NA,NA,NA,NA,NA
