date,tenure,eu,en,ee
2004m2,41,0,.14374268,0
2004m2,42,0,.10108607,0
2004m2,43,0,0,0
2004m2,44,0,0,0
2004m2,45,0,0,0
2004m2,46,0,0,0
2004m2,47,0,.27884841,0
2004m2,48,0,0,0
2004m2,49,0,0,0
2004m2,50,0,.12617239,0
2004m2,51,0,0,0
2004m2,52,0,0,0
2004m2,,,,
2006m2,0,.031185001,.07783024,.046786733
2006m2,1,.016993597,.043652523,.033709973
2006m2,2,.0086056432,.029096317,.02637778
2006m2,3,.011698548,.028560519,.023809459
2006m2,4,.01183844,.024954835,.021997355
2006m2,5,.012389435,.028083133,.017103322
2006m2,6,.0048718778,.016699748,.020167861
2006m2,7,.0053240089,.024259359,.016648695
2006m2,8,.0073940284,.017779913,.020914918
2006m2,9,.0053161546,.012187883,.014287832
2006m2,10,.0052059498,.016217064,.015729098
2006m2,11,.00061744847,.010417635,.0067301732
2006m2,12,.0077939997,.025128247,.011573886
2006m2,13,.0014088125,.0038925915,.010341469
2006m2,14,.0041360906,.01398142,.018094692
2006m2,15,.006115844,.020333996,.016263215
2006m2,16,.0037692813,.013391095,.0054968898
2006m2,17,0,.011538108,.011609655
2006m2,18,.0040234495,.015066756,.020829931
2006m2,19,.0005842481,.010442894,.0060552605
2006m2,20,.0050328732,.030249065,.01573314
2006m2,21,0,.011640226,.0013226097
2006m2,22,.0024348488,.0089889858,.012480484
2006m2,23,.0056341146,.020160522,.0090637468
2006m2,24,.017749675,.031744301,.016832052
2006m2,25,.0045569544,.020120565,.0042631431
2006m2,26,.00095190079,.025532236,.0090098288
2006m2,27,0,.0053617051,.014421451
2006m2,28,0,.010213885,.028350869
2006m2,29,0,0,.035179704
2006m2,30,.00064582104,.023817202,.016647764
2006m2,31,.0024314381,.0024314381,.032962307
2006m2,32,0,.0014238758,.012479633
2006m2,33,0,.033290014,.01385019
2006m2,34,0,0,0
2006m2,35,.0031266746,.022479258,.024259826
2006m2,36,0,0,.064640425
2006m2,37,0,0,0
2006m2,38,0,.078199215,.074769638
2006m2,39,0,0,0
2006m2,40,0,.058435027,.0062833014
2006m2,41,0,0,0
2006m2,42,0,0,0
2006m2,43,0,.10535187,0
2006m2,44,0,0,0
2006m2,45,0,0,.10901976
2006m2,46,0,.46721447,0
2006m2,47,0,0,0
2006m2,48,0,.056752693,0
2006m2,49,0,0,0
2006m2,50,0,0,0
2006m2,51,0,0,0
2006m2,52,0,0,0
2006m2,53,0,1,
2006m2,54,0,0,0
2006m2,,,,
2008m2,0,.030198446,.069052674,.040301714
2008m2,1,.019706495,.048515022,.027996173
2008m2,2,.014876536,.039626028,.025862409
2008m2,3,.011857736,.032781299,.018960774
2008m2,4,.010881049,.025274783,.023886399
2008m2,5,.0056228833,.021452209,.015787439
2008m2,6,.0023829741,.015806763,.014551149
2008m2,7,.007069679,.018932955,.015962608
2008m2,8,.0087437741,.020100439,.016230015
2008m2,9,.0002421715,.01037614,.00643432
2008m2,10,.0049042548,.021465249,.012108123
2008m2,11,.0049504139,.013872575,.0041035027
2008m2,12,.0044630072,.017542979,.0070303632
2008m2,13,.005580144,.010291894,.01527425
2008m2,14,.00091671007,.016516188,.004268141
2008m2,15,.0095943213,.016604617,.009935908
2008m2,16,.0031196822,.0067226822,.010517825
2008m2,17,.00042548575,.010656754,.022865895
2008m2,18,0,.012773829,.0097834738
2008m2,19,.0052551827,.013996355,.011081939
2008m2,20,.0039485213,.017945163,.01135755
2008m2,21,.0046803048,.0055050207,.011473863
2008m2,22,.0030466304,.0056308219,.0065618022
2008m2,23,.014578895,.021449788,.013821081
2008m2,24,.0070220307,.011089089,.016085543
2008m2,25,.0057878662,.026534598,.012365102
2008m2,26,0,.019224226,0
2008m2,27,0,0,.020024886
2008m2,28,0,0,0
2008m2,29,0,.0011264153,.0080860648
2008m2,30,.0073651536,.01944383,.0088113565
2008m2,31,0,.0043851696,.0033365267
2008m2,32,.0095319953,.03066859,.0036683534
2008m2,33,0,0,.010834338
2008m2,34,0,.039286856,.010534701
2008m2,35,0,.031282295,.0032207184
2008m2,36,0,.036627505,0
2008m2,37,0,.028833905,0
2008m2,38,0,.064708441,0
2008m2,39,0,.08275786,0
2008m2,40,.016738743,.054223392,0
2008m2,41,0,0,.030733224
2008m2,42,0,.040367629,0
2008m2,43,0,0,0
2008m2,44,0,0,0
2008m2,45,0,.076762855,0
2008m2,46,.20158592,.20158592,0
2008m2,48,0,.15297237,0
2008m2,49,0,0,0
2008m2,50,0,.060662698,0
2008m2,51,0,0,0
2008m2,53,0,0,0
2008m2,55,0,0,0
2008m2,,,,
2010m2,0,.041999128,.080287725,.03129622
2010m2,1,.019539136,.042785481,.01817582
2010m2,2,.020305686,.040800475,.015400621
2010m2,3,.01259285,.035524104,.016051607
2010m2,4,.0089071998,.020466769,.016876619
2010m2,5,.0090610404,.024836438,.015414804
2010m2,6,.011700153,.022383336,.01386363
2010m2,7,.0098069645,.022366852,.014404977
2010m2,8,.007955038,.017486839,.012640741
2010m2,9,.0036208883,.012768671,.019054297
2010m2,10,.0092045106,.02415381,.010365268
2010m2,11,.0066907601,.013411107,.0073945662
2010m2,12,.010168224,.013973972,.017661916
2010m2,13,.0018569974,.012560397,.0093754428
2010m2,14,.0074456492,.011060619,.016018745
2010m2,15,.0053819693,.019725896,.014529879
2010m2,16,.0067155981,.017757693,.022014605
2010m2,17,.0070212814,.014980813,.022352053
2010m2,18,.010002678,.026419278,.013841693
2010m2,19,0,0,.015299034
2010m2,20,.010396022,.028664904,.0094609493
2010m2,21,.0049156081,.015338147,0
2010m2,22,.0058110943,.015890975,.0053999852
2010m2,23,0,.0044566048,.0042400425
2010m2,24,.0041475627,.022729272,.017958492
2010m2,25,.0038402798,.0090527153,.013143186
2010m2,26,.014393703,.019065805,0
2010m2,27,.0044442536,.0044442536,.0089837797
2010m2,28,.0093191247,.0093191247,.0071544512
2010m2,29,.002603861,.0089544998,.0077041904
2010m2,30,.0089553725,.015680647,.011510966
2010m2,31,0,.016103802,.0013303717
2010m2,32,.0037292698,.0051902183,.022799734
2010m2,33,0,.050922383,0
2010m2,34,0,.050219666,0
2010m2,35,0,.016713491,.004775323
2010m2,36,.015149514,.019399179,0
2010m2,37,0,.034069255,0
2010m2,38,0,.015341498,.020622069
2010m2,39,.028727388,.028727388,.044356763
2010m2,40,.014976226,.061771888,.0098539023
2010m2,41,0,0,0
2010m2,42,0,.034332179,0
2010m2,43,0,.13356416,.046283979
2010m2,44,0,0,0
2010m2,45,0,.023248678,0
2010m2,46,0,0,0
2010m2,47,0,0,0
2010m2,48,0,0,0
2010m2,49,0,.75218958,0
2010m2,50,0,0,0
2010m2,51,0,0,0
2010m2,52,0,0,0
2010m2,53,0,0,0
2010m2,55,0,1,
2010m2,56,0,0,0
2010m2,,,,
2012m2,0,.035038501,.070223197,.034970365
2012m2,1,.019281553,.044280145,.023226073
2012m2,2,.015122628,.033830062,.01849027
2012m2,3,.012877399,.034870043,.019051012
2012m2,4,.012383035,.03100884,.019234542
2012m2,5,.010240246,.020480322,.016315712
2012m2,6,.0099798637,.02571396,.011085612
2012m2,7,.011111774,.018854516,.016684599
2012m2,8,.0042062039,.01364103,.012902027
2012m2,9,.008495993,.027643958,.0058683576
2012m2,10,.0064711953,.018685244,.01283982
2012m2,11,.005557254,.013966224,.0057961913
2012m2,12,.0043599438,.017282598,.0072897002
2012m2,13,.0042381641,.017185237,.015989564
2012m2,14,.0026662657,.011712323,.0045362893
2012m2,15,.0076643298,.020012978,.0093385084
2012m2,16,.0043938668,.013349704,.011530071
2012m2,17,.0022629285,.012517506,.0085310377
2012m2,18,0,.015454132,.01206849
2012m2,19,0,.018059254,.0017794357
2012m2,20,.0038400658,.01247509,.0093111936
2012m2,21,.0023124125,.014449027,.013568753
2012m2,22,.0039590597,.01716817,.0090881055
2012m2,23,0,.011303389,.0057676537
2012m2,24,0,.0098590171,.014319704
2012m2,25,.0022976229,.026014617,.022067383
2012m2,26,.0076219537,.016332231,.0066870027
2012m2,27,.0027540685,.031150587,.0072339387
2012m2,28,0,.0088237897,.0050398642
2012m2,29,0,.013768,.0084975865
2012m2,30,.0014359264,.025015108,.0024003861
2012m2,31,0,.012302942,.002429693
2012m2,32,0,.020584716,.0034347321
2012m2,33,0,0,0
2012m2,34,0,.03155382,.020782042
2012m2,35,0,.01167308,.010026842
2012m2,36,.036925141,.066527523,0
2012m2,37,0,.029878687,0
2012m2,38,0,.024089292,.019956058
2012m2,39,0,.016333455,.010316339
2012m2,,,,
2014m2,0,.032998968,.065985426,.034414094
2014m2,1,.017728711,.038477581,.018518226
2014m2,2,.015035702,.036813419,.015877396
2014m2,3,.009811501,.029919911,.019832421
2014m2,4,.012481798,.033546824,.01368528
2014m2,5,.0063626063,.026359854,.01502188
2014m2,6,.006459902,.016963016,.013260377
2014m2,7,.004422165,.011290572,.012763069
2014m2,8,.0022363316,.016496951,.019118683
2014m2,9,.0040713339,.018211955,.013144718
2014m2,10,.0065863477,.021621725,.012139021
2014m2,11,.00069364987,.0072347266,.00059555337
2014m2,12,.00028054419,.01084503,.019184532
2014m2,13,.0027344937,.015365081,.015718598
2014m2,14,.0061713438,.016472094,.0072306083
2014m2,15,.0021828683,.013781506,.012519554
2014m2,16,.0062904707,.010928338,.0063621923
2014m2,17,.0014317695,.0071738944,.0075215767
2014m2,18,.0057051587,.012260482,.017854322
2014m2,19,0,.01671784,.016086543
2014m2,20,.0023139482,.020631598,.010986375
2014m2,21,.0083365785,.01835683,.014091454
2014m2,22,.0068580741,.021390794,.019201271
2014m2,23,.005860032,.005860032,.0078328382
2014m2,24,0,.0093561932,.0092259571
2014m2,25,.0028163888,.006825238,.0098149832
2014m2,26,0,.016386474,.0095307827
2014m2,27,0,.024558533,.0049195662
2014m2,28,.0060175234,.012307619,.0064567011
2014m2,29,0,0,.001066578
2014m2,30,.0060376073,.025246449,.007728979
2014m2,31,0,.010168578,.0063191867
2014m2,32,.0016361567,.016031077,.0087333368
2014m2,,,,
2016m2,0,.023074945,.060005713,.030307703
2016m2,1,.01047939,.035649609,.024025599
2016m2,2,.010294169,.025449367,.027511222
2016m2,3,.0062758769,.027562205,.015991503
2016m2,4,.0093532279,.029100351,.015073269
2016m2,5,.0059548146,.02544101,.01489364
2016m2,6,.0060413931,.019335017,.01324791
2016m2,7,.0085451053,.022443067,.014660047
2016m2,8,.0037823392,.020179698,.017309235
2016m2,9,.0033847147,.01365508,.019780835
2016m2,10,.0028319189,.01613768,.014336089
2016m2,11,.0016041338,.026168976,.010071466
2016m2,12,.0071112164,.025413435,.0084506273
2016m2,13,.0023207585,.0075555751,.012437555
2016m2,14,.0012232844,.0025711099,.01304893
2016m2,15,.0048990338,.020680979,.011909905
2016m2,16,.0039802194,.014290092,.021146934
2016m2,17,.0026765759,.017136257,.015408083
2016m2,18,0,.010499002,.017147314
2016m2,19,0,0,.011546023
2016m2,20,.0085263709,.0331618,.0095927361
2016m2,21,.0017828107,.011611795,.0055552856
2016m2,22,.0016013809,.0058766026,.0097012706
2016m2,23,.005995831,.0074631074,.027309185
2016m2,24,.010514374,.010514374,.0016811696
2016m2,25,.0047032447,.02504782,.013568836
2016m2,26,.0059589292,.0071731331,.0051799426
2016m2,27,0,.010345175,.0054074563
2016m2,28,0,.0074106674,.01538694
2016m2,29,0,0,.0011013912
2016m2,30,.0044515808,.023135258,.013834746
2016m2,31,0,.010969429,.011669545
2016m2,32,.0044080676,.021090511,.015114718
2016m2,,,,
2018m2,0,.020262768,.056373842,.041993029
2018m2,1,.013845995,.032715112,.018940497
2018m2,2,.0098972619,.034097251,.023933854
2018m2,3,.0087750992,.02361476,.019524356
2018m2,4,.0047564949,.015270474,.018876441
2018m2,5,.0057411981,.024757246,.017406588
2018m2,6,.006122564,.016577773,.024808839
2018m2,7,.0073966575,.019526239,.020989714
2018m2,8,.0046410738,.019840984,.017864777
2018m2,9,.0012951683,.011853814,.013568494
2018m2,10,.0036551014,.017405963,.015432888
2018m2,11,.0043968908,.012684017,.011433319
2018m2,12,.0054949927,.011842856,.013962698
2018m2,13,.00044275488,.0014016654,.0071803182
2018m2,14,0,.011718974,.0030447366
2018m2,15,.0033838931,.016339755,.015154917
2018m2,16,.0032948519,.0096617136,.0032499165
2018m2,17,.0049646408,.011037515,.0079640318
2018m2,18,.00032288683,.0075851139,.016488964
2018m2,19,.0042561619,.015076527,.0055541405
2018m2,20,.0062915757,.014731407,.013048887
2018m2,21,0,.0070449682,.0070851613
2018m2,22,0,.010024816,.011111094
2018m2,23,.0023357761,.0023357761,.0057585603
2018m2,24,0,.015020927,.0048929765
2018m2,25,.0010290508,.012736666,.0051114354
2018m2,26,0,.013782495,0
2018m2,27,0,.0019213568,0
2018m2,28,.0059925369,.013337227,.0080162436
2018m2,29,0,.028042065,.0032716291
2018m2,30,.0021203195,.020287372,.00096529018
2018m2,31,0,.0053843064,0
2018m2,32,.0054551377,.03196824,.013617978
2018m2,,,,
