date,year,quarter,duration,ue
2008q2,2008,2,5,.19244055
2008q3,2008,3,5,.17183469
2008q4,2008,4,5,.13334112
2009q1,2009,1,5,.14605321
2009q2,2009,2,5,.14336027
2009q3,2009,3,5,.16473262
2009q4,2009,4,5,.12388296
2010q1,2010,1,5,.13370074
2010q2,2010,2,5,.15533477
2010q3,2010,3,5,.12906018
2010q4,2010,4,5,.12208064
2011q1,2011,1,5,.13610514
2011q2,2011,2,5,.17094557
2011q3,2011,3,5,.12084063
2011q4,2011,4,5,.19501758
2012q1,2012,1,5,.18696579
2012q2,2012,2,5,.15206838
2012q3,2012,3,5,.16206153
2012q4,2012,4,5,.17527044
2013q1,2013,1,5,.14087293
2013q2,2013,2,5,.17711635
2013q3,2013,3,5,.19659325
2013q4,2013,4,5,.17775503
2014q1,2014,1,5,.19446875
2014q2,2014,2,5,.2022327
2014q3,2014,3,5,.19772431
2014q4,2014,4,5,.1993674
2015q1,2015,1,5,.1807221
2015q2,2015,2,5,.16658667
2015q3,2015,3,5,.17513767
2015q4,2015,4,5,.21047147
2016q1,2016,1,5,.16897345
2016q2,2016,2,5,.1984293
2016q3,2016,3,5,.18034436
2016q4,2016,4,5,.2723867
2017q1,2017,1,5,.25561494
2017q2,2017,2,5,.19678167
2017q3,2017,3,5,.13538751
2017q4,2017,4,5,.25819689
2018q1,2018,1,5,.23936161
2018q2,2018,2,5,.24001998
2018q3,2018,3,5,.17674793
2018q4,2018,4,5,.2722823
1995q4,1995,4,6,.21635814
1996q1,1996,1,6,.17543383
1996q2,1996,2,6,.18823652
1996q3,1996,3,6,.21365465
1996q4,1996,4,6,.15514179
1997q1,1997,1,6,.19186434
1997q2,1997,2,6,.18303359
1997q3,1997,3,6,.23909467
1997q4,1997,4,6,.2560651
1998q1,1998,1,6,.24206567
1998q2,1998,2,6,.25098637
1998q3,1998,3,6,.22900696
1998q4,1998,4,6,.1688658
1999q1,1999,1,6,.29371732
1999q2,1999,2,6,.22842646
1999q3,1999,3,6,.23306511
1999q4,1999,4,6,.23144545
2000q1,2000,1,6,.22847524
2000q2,2000,2,6,.22047794
2000q3,2000,3,6,.19614851
2000q4,2000,4,6,.24254277
2001q1,2001,1,6,.19561757
2001q2,2001,2,6,.2093866
2001q3,2001,3,6,.20050389
2001q4,2001,4,6,.17169657
2002q1,2002,1,6,.23024705
2002q2,2002,2,6,.17728418
2002q3,2002,3,6,.19099209
2002q4,2002,4,6,.15854158
2003q1,2003,1,6,.22094443
2003q2,2003,2,6,.19951245
2003q3,2003,3,6,.14500681
2003q4,2003,4,6,.21702771
2004q1,2004,1,6,.18253872
2004q2,2004,2,6,.23302966
2004q3,2004,3,6,.2101403
